sale_id,sku_id,product_name,category,sale_date,qty_sold,unit_price_usd,total_revenue_usd,channel,region,return_qty,discount_pct
SALE-9019,SKU-1000,Wireless Earbuds,Electronics,2026-02-19,32,376.49,12047.68,Retail Store,East,0,10
SALE-9020,SKU-1038,Mixing Bowls Set,Home & Kitchen,2025-06-30,1,260.8,260.8,B2B Direct,East,0,5
SALE-9021,SKU-1025,Socks (Pack-6),Clothing,2025-07-09,11,470.4,5174.4,Retail Store,West,0,0
SALE-9022,SKU-1015,Whiteboard Markers,Office,2025-11-23,49,356.62,17474.38,B2B Direct,East,0,5
SALE-9023,SKU-1017,Printer Ink Cartridge,Office,2025-10-01,13,587.04,7631.52,Website,South,0,5
SALE-9024,SKU-1039,Dish Rack,Home & Kitchen,2025-10-21,18,325.0,5850.0,B2B Direct,West,0,0
SALE-9025,SKU-1034,Kitchen Knife Set,Home & Kitchen,2025-03-15,12,279.9,3358.8,Website,East,0,0
SALE-9026,SKU-1000,Wireless Earbuds,Electronics,2025-07-01,6,451.79,2710.74,Mobile App,North,0,0
SALE-9027,SKU-1031,Blender,Home & Kitchen,2025-09-10,30,504.08,15122.4,Website,East,0,20
SALE-9028,SKU-1003,Gaming Mouse,Electronics,2025-07-18,50,400.7,20035.0,Retail Store,North,0,0
SALE-9029,SKU-1016,Desk Organizer,Office,2025-09-15,1,317.54,317.54,Website,South,0,0
SALE-9030,SKU-1047,Eye Cream,Beauty,2025-03-21,13,73.21,951.73,Retail Store,North,0,0
SALE-9031,SKU-1024,Baseball Cap,Clothing,2026-02-15,20,124.9,2498.0,Marketplace,South,0,10
SALE-9032,SKU-1035,Food Storage Containers,Home & Kitchen,2025-11-25,8,314.44,2515.52,Marketplace,West,0,0
SALE-9033,SKU-1003,Gaming Mouse,Electronics,2026-02-08,14,333.92,4674.88,Website,South,0,0
SALE-9034,SKU-1017,Printer Ink Cartridge,Office,2025-12-28,8,821.86,6574.88,Retail Store,South,1,5
SALE-9035,SKU-1044,Lip Balm,Beauty,2025-11-02,45,667.88,30054.6,B2B Direct,South,0,0
SALE-9036,SKU-1031,Blender,Home & Kitchen,2025-04-19,44,504.08,22179.52,B2B Direct,East,0,0
SALE-9037,SKU-1009,Laptop Stand,Electronics,2026-02-26,35,84.62,2961.7,Website,South,0,20
SALE-9038,SKU-1041,Shampoo 500ml,Beauty,2025-08-28,29,344.31,9984.99,Mobile App,North,0,10
SALE-9039,SKU-1016,Desk Organizer,Office,2025-03-24,32,317.54,10161.28,Retail Store,Central,0,0
SALE-9040,SKU-1036,Electric Kettle,Home & Kitchen,2025-06-07,35,48.41,1694.35,Marketplace,East,0,15
SALE-9041,SKU-1038,Mixing Bowls Set,Home & Kitchen,2025-12-12,11,304.26,3346.86,Website,Central,0,10
SALE-9042,SKU-1034,Kitchen Knife Set,Home & Kitchen,2025-09-07,30,279.9,8397.0,Website,Central,0,15
SALE-9043,SKU-1039,Dish Rack,Home & Kitchen,2025-09-06,50,325.0,16250.0,B2B Direct,South,0,5
SALE-9044,SKU-1034,Kitchen Knife Set,Home & Kitchen,2025-09-18,13,279.9,3638.7,B2B Direct,West,0,0
SALE-9045,SKU-1026,Polo Shirt,Clothing,2026-01-26,21,255.0,5355.0,Website,North,0,0
SALE-9046,SKU-1008,Smart Speaker,Electronics,2025-06-03,3,255.61,766.83,Mobile App,North,0,0
SALE-9047,SKU-1041,Shampoo 500ml,Beauty,2025-09-18,43,344.31,14805.33,Retail Store,Central,0,0
SALE-9048,SKU-1023,Running Shoes,Clothing,2025-06-25,39,492.38,19202.82,Website,North,0,15
SALE-9049,SKU-1005,Monitor Stand,Electronics,2025-10-29,41,357.41,14653.81,Website,East,0,15
SALE-9050,SKU-1023,Running Shoes,Clothing,2026-03-01,4,410.32,1641.28,B2B Direct,East,0,0
SALE-9051,SKU-1019,Tape Dispenser,Office,2025-04-12,14,477.85,6689.9,B2B Direct,North,0,5
SALE-9052,SKU-1012,Sticky Notes Pack,Office,2025-06-10,34,305.74,10395.16,Mobile App,Central,3,5
SALE-9053,SKU-1035,Food Storage Containers,Home & Kitchen,2025-10-02,48,224.6,10780.8,Website,Central,0,10
SALE-9054,SKU-1027,Winter Jacket,Clothing,2025-04-26,11,483.4,5317.4,Mobile App,Central,0,5
SALE-9055,SKU-1034,Kitchen Knife Set,Home & Kitchen,2026-01-05,29,279.9,8117.1,Marketplace,East,3,0
SALE-9056,SKU-1023,Running Shoes,Clothing,2025-10-01,49,410.32,20105.68,Retail Store,East,0,5
SALE-9057,SKU-1024,Baseball Cap,Clothing,2025-12-10,48,174.86,8393.28,Marketplace,East,0,0
SALE-9058,SKU-1046,Body Lotion,Beauty,2025-03-21,19,43.01,817.19,B2B Direct,North,0,15
SALE-9059,SKU-1000,Wireless Earbuds,Electronics,2025-08-04,15,376.49,5647.35,Mobile App,East,0,15
SALE-9060,SKU-1017,Printer Ink Cartridge,Office,2025-12-12,33,821.86,27121.38,B2B Direct,Central,0,0
SALE-9061,SKU-1022,Hoodie,Clothing,2025-05-22,9,85.9,773.1,Marketplace,East,0,0
SALE-9062,SKU-1019,Tape Dispenser,Office,2025-04-20,37,477.85,17680.45,Retail Store,Central,0,10
SALE-9063,SKU-1030,Coffee Maker,Home & Kitchen,2025-05-31,32,420.91,13469.12,B2B Direct,North,0,0
SALE-9064,SKU-1036,Electric Kettle,Home & Kitchen,2025-09-15,6,40.34,242.04,Website,East,0,0
SALE-9065,SKU-1007,Power Bank,Electronics,2025-06-28,48,364.87,17513.76,B2B Direct,North,0,0
SALE-9066,SKU-1019,Tape Dispenser,Office,2025-11-27,3,668.99,2006.97,Marketplace,Central,0,5
SALE-9067,SKU-1014,File Folders,Office,2025-05-21,4,290.71,1162.84,Retail Store,West,0,0
SALE-9068,SKU-1027,Winter Jacket,Clothing,2025-07-30,26,580.08,15082.08,Mobile App,South,0,5
SALE-9069,SKU-1003,Gaming Mouse,Electronics,2025-12-09,26,467.49,12154.74,Marketplace,North,0,10
SALE-9070,SKU-1008,Smart Speaker,Electronics,2025-05-12,31,213.01,6603.31,B2B Direct,South,0,5
SALE-9071,SKU-1035,Food Storage Containers,Home & Kitchen,2026-01-13,48,224.6,10780.8,B2B Direct,South,0,10
SALE-9072,SKU-1020,Men T-Shirt,Clothing,2026-02-17,37,371.05,13728.85,Website,North,0,0
SALE-9073,SKU-1012,Sticky Notes Pack,Office,2025-08-15,23,254.78,5859.94,B2B Direct,North,0,0
SALE-9074,SKU-1028,Denim Shorts,Clothing,2026-01-17,10,191.99,1919.9,Retail Store,North,0,0
SALE-9075,SKU-1048,Toner,Beauty,2025-04-16,8,284.78,2278.24,Website,South,3,15
SALE-9076,SKU-1018,Scissors,Office,2025-03-11,22,125.99,2771.78,Website,East,0,0
SALE-9077,SKU-1047,Eye Cream,Beauty,2025-12-04,14,102.49,1434.86,Mobile App,Central,0,5
SALE-9078,SKU-1039,Dish Rack,Home & Kitchen,2025-05-15,45,325.0,14625.0,Website,West,3,5
SALE-9079,SKU-1016,Desk Organizer,Office,2025-05-30,4,317.54,1270.16,Marketplace,South,0,0
SALE-9080,SKU-1041,Shampoo 500ml,Beauty,2025-03-08,5,344.31,1721.55,Retail Store,East,0,5
SALE-9081,SKU-1006,LED Desk Lamp,Electronics,2025-03-13,19,484.57,9206.83,Retail Store,South,0,10
SALE-9082,SKU-1020,Men T-Shirt,Clothing,2025-11-07,39,519.47,20259.33,B2B Direct,North,0,20
SALE-9083,SKU-1035,Food Storage Containers,Home & Kitchen,2026-03-03,2,224.6,449.2,Website,South,0,0
SALE-9084,SKU-1047,Eye Cream,Beauty,2025-05-23,2,73.21,146.42,Marketplace,East,0,0
SALE-9085,SKU-1032,Non-stick Pan,Home & Kitchen,2025-07-23,4,454.52,1818.08,Marketplace,West,1,15
SALE-9086,SKU-1014,File Folders,Office,2025-05-20,22,290.71,6395.62,Retail Store,South,0,5
SALE-9087,SKU-1043,Sunscreen SPF50,Beauty,2026-01-11,41,334.2,13702.2,Mobile App,West,0,0
SALE-9088,SKU-1019,Tape Dispenser,Office,2026-01-07,22,477.85,10512.7,Retail Store,Central,0,0
SALE-9089,SKU-1034,Kitchen Knife Set,Home & Kitchen,2026-02-17,13,279.9,3638.7,Mobile App,East,0,5
SALE-9090,SKU-1008,Smart Speaker,Electronics,2025-10-10,50,213.01,10650.5,Mobile App,Central,0,5
SALE-9091,SKU-1046,Body Lotion,Beauty,2025-05-03,12,43.01,516.12,Marketplace,South,0,0
SALE-9092,SKU-1026,Polo Shirt,Clothing,2025-09-30,20,255.0,5100.0,Retail Store,East,0,0
SALE-9093,SKU-1011,A4 Paper (Ream),Office,2025-03-17,49,515.31,25250.19,B2B Direct,Central,0,5
SALE-9094,SKU-1038,Mixing Bowls Set,Home & Kitchen,2025-06-30,15,260.8,3912.0,Website,East,0,0
SALE-9095,SKU-1032,Non-stick Pan,Home & Kitchen,2026-01-07,31,378.77,11741.87,Marketplace,South,0,0
SALE-9096,SKU-1012,Sticky Notes Pack,Office,2025-06-27,3,305.74,917.22,Retail Store,North,2,0
SALE-9097,SKU-1042,Conditioner 500ml,Beauty,2025-06-15,49,75.36,3692.64,Mobile App,North,1,20
SALE-9098,SKU-1039,Dish Rack,Home & Kitchen,2025-11-09,45,455.0,20475.0,Marketplace,West,0,10
SALE-9099,SKU-1038,Mixing Bowls Set,Home & Kitchen,2025-09-14,47,217.33,10214.51,Marketplace,West,3,5
SALE-9100,SKU-1034,Kitchen Knife Set,Home & Kitchen,2025-11-27,42,391.86,16458.12,Website,Central,0,10
SALE-9101,SKU-1002,Mechanical Keyboard,Electronics,2025-07-07,34,295.31,10040.54,B2B Direct,West,0,0
SALE-9102,SKU-1048,Toner,Beauty,2026-01-20,4,284.78,1139.12,Mobile App,East,0,0
SALE-9103,SKU-1018,Scissors,Office,2025-10-26,11,125.99,1385.89,Retail Store,East,3,5
SALE-9104,SKU-1009,Laptop Stand,Electronics,2025-10-27,42,84.62,3554.04,Retail Store,North,0,0
SALE-9105,SKU-1037,Air Fryer,Home & Kitchen,2026-02-23,35,250.76,8776.6,Mobile App,West,0,0
SALE-9106,SKU-1029,Sport Leggings,Clothing,2025-12-31,46,100.87,4640.02,Mobile App,West,0,5
SALE-9107,SKU-1045,Hand Cream,Beauty,2025-05-26,46,336.24,15467.04,Website,North,0,5
SALE-9108,SKU-1005,Monitor Stand,Electronics,2025-11-27,46,500.37,23017.02,Retail Store,Central,3,0
SALE-9109,SKU-1024,Baseball Cap,Clothing,2025-03-26,50,124.9,6245.0,Mobile App,East,0,15
SALE-9110,SKU-1010,Ballpoint Pens (Box),Office,2025-05-17,12,139.01,1668.12,Website,West,0,10
SALE-9111,SKU-1028,Denim Shorts,Clothing,2025-07-29,41,230.39,9445.99,Mobile App,North,1,0
SALE-9112,SKU-1048,Toner,Beauty,2025-07-11,1,341.74,341.74,Retail Store,West,0,0
SALE-9113,SKU-1031,Blender,Home & Kitchen,2025-07-03,14,604.9,8468.6,B2B Direct,West,0,0
SALE-9114,SKU-1038,Mixing Bowls Set,Home & Kitchen,2025-03-07,16,217.33,3477.28,B2B Direct,East,0,10
SALE-9115,SKU-1013,Stapler,Office,2025-03-29,12,196.06,2352.72,Mobile App,North,0,0
SALE-9116,SKU-1002,Mechanical Keyboard,Electronics,2026-02-08,37,246.09,9105.33,B2B Direct,East,2,0
SALE-9117,SKU-1026,Polo Shirt,Clothing,2025-06-03,11,306.0,3366.0,Marketplace,Central,0,5
SALE-9118,SKU-1035,Food Storage Containers,Home & Kitchen,2025-06-02,30,269.52,8085.6,B2B Direct,East,0,0
SALE-9119,SKU-1023,Running Shoes,Clothing,2025-09-14,5,410.32,2051.6,Retail Store,Central,0,0
SALE-9120,SKU-1044,Lip Balm,Beauty,2025-07-22,22,572.47,12594.34,B2B Direct,West,0,0
SALE-9121,SKU-1003,Gaming Mouse,Electronics,2025-04-28,37,333.92,12355.04,B2B Direct,North,0,5
SALE-9122,SKU-1045,Hand Cream,Beauty,2025-07-29,28,403.49,11297.72,B2B Direct,East,0,20
SALE-9123,SKU-1022,Hoodie,Clothing,2025-05-09,40,85.9,3436.0,B2B Direct,West,0,0
SALE-9124,SKU-1011,A4 Paper (Ream),Office,2026-01-10,15,515.31,7729.65,Marketplace,South,0,0
SALE-9125,SKU-1007,Power Bank,Electronics,2025-06-18,40,364.87,14594.8,Retail Store,West,0,5
SALE-9126,SKU-1040,Face Moisturizer,Beauty,2025-06-20,1,259.0,259.0,Mobile App,East,0,0
SALE-9127,SKU-1032,Non-stick Pan,Home & Kitchen,2025-12-10,21,530.28,11135.88,Website,North,0,0
SALE-9128,SKU-1036,Electric Kettle,Home & Kitchen,2026-01-13,2,40.34,80.68,Mobile App,South,0,15
SALE-9129,SKU-1030,Coffee Maker,Home & Kitchen,2025-11-01,3,589.27,1767.81,Mobile App,West,0,15
SALE-9130,SKU-1034,Kitchen Knife Set,Home & Kitchen,2025-08-22,30,279.9,8397.0,Retail Store,North,0,10
SALE-9131,SKU-1020,Men T-Shirt,Clothing,2025-12-13,35,519.47,18181.45,Website,South,0,10
SALE-9132,SKU-1022,Hoodie,Clothing,2025-04-06,10,85.9,859.0,Marketplace,North,2,5
SALE-9133,SKU-1010,Ballpoint Pens (Box),Office,2025-12-21,39,194.61,7589.79,Retail Store,South,0,10
SALE-9134,SKU-1019,Tape Dispenser,Office,2026-02-28,21,477.85,10034.85,Website,East,0,15
SALE-9135,SKU-1023,Running Shoes,Clothing,2025-10-21,20,410.32,8206.4,Mobile App,Central,0,0
SALE-9136,SKU-1002,Mechanical Keyboard,Electronics,2025-06-15,6,295.31,1771.86,Retail Store,Central,0,15
SALE-9137,SKU-1009,Laptop Stand,Electronics,2025-06-09,22,101.54,2233.88,Retail Store,Central,0,0
SALE-9138,SKU-1006,LED Desk Lamp,Electronics,2025-11-23,44,678.4,29849.6,Mobile App,South,0,0
SALE-9139,SKU-1033,Cutting Board,Home & Kitchen,2025-05-02,1,355.21,355.21,Marketplace,North,0,15
SALE-9140,SKU-1021,Women Jeans,Clothing,2025-10-29,3,305.44,916.32,Website,Central,0,0
SALE-9141,SKU-1048,Toner,Beauty,2025-08-10,41,284.78,11675.98,Mobile App,East,0,0
SALE-9142,SKU-1020,Men T-Shirt,Clothing,2025-10-15,43,371.05,15955.15,Website,East,0,0
SALE-9143,SKU-1039,Dish Rack,Home & Kitchen,2025-12-15,33,455.0,15015.0,Website,South,0,0
SALE-9144,SKU-1009,Laptop Stand,Electronics,2026-02-27,19,84.62,1607.78,B2B Direct,South,0,5
SALE-9145,SKU-1021,Women Jeans,Clothing,2025-12-05,29,427.62,12400.98,Website,South,0,5
SALE-9146,SKU-1006,LED Desk Lamp,Electronics,2025-09-16,4,484.57,1938.28,Website,West,0,5
SALE-9147,SKU-1037,Air Fryer,Home & Kitchen,2026-01-20,45,250.76,11284.2,Retail Store,Central,0,10
SALE-9148,SKU-1045,Hand Cream,Beauty,2026-02-10,35,336.24,11768.4,Website,West,0,10
SALE-9149,SKU-1044,Lip Balm,Beauty,2025-10-29,7,477.06,3339.42,Retail Store,East,0,10
SALE-9150,SKU-1030,Coffee Maker,Home & Kitchen,2025-06-30,15,505.09,7576.35,Mobile App,Central,2,0
SALE-9151,SKU-1044,Lip Balm,Beauty,2026-02-07,22,477.06,10495.32,Marketplace,West,0,0
SALE-9152,SKU-1022,Hoodie,Clothing,2025-11-04,30,120.26,3607.8,Mobile App,East,0,0
SALE-9153,SKU-1006,LED Desk Lamp,Electronics,2025-09-27,46,484.57,22290.22,Website,East,0,10
SALE-9154,SKU-1034,Kitchen Knife Set,Home & Kitchen,2025-10-26,26,279.9,7277.4,B2B Direct,West,0,5
SALE-9155,SKU-1030,Coffee Maker,Home & Kitchen,2025-09-16,5,420.91,2104.55,Marketplace,South,0,10
SALE-9156,SKU-1027,Winter Jacket,Clothing,2025-12-19,22,676.76,14888.72,B2B Direct,South,0,0
SALE-9157,SKU-1045,Hand Cream,Beauty,2025-12-22,32,470.74,15063.68,Website,Central,0,5
SALE-9158,SKU-1028,Denim Shorts,Clothing,2025-06-02,20,230.39,4607.8,Retail Store,North,0,10
SALE-9159,SKU-1049,Serum 30ml,Beauty,2025-09-14,21,409.33,8595.93,Retail Store,North,0,0
SALE-9160,SKU-1037,Air Fryer,Home & Kitchen,2026-01-23,1,250.76,250.76,Mobile App,South,0,0
SALE-9161,SKU-1036,Electric Kettle,Home & Kitchen,2025-10-18,13,40.34,524.42,Mobile App,East,0,15
SALE-9162,SKU-1019,Tape Dispenser,Office,2025-10-12,46,477.85,21981.1,Marketplace,North,0,20
SALE-9163,SKU-1025,Socks (Pack-6),Clothing,2025-05-08,19,392.0,7448.0,Website,East,3,0
SALE-9164,SKU-1035,Food Storage Containers,Home & Kitchen,2025-09-03,8,224.6,1796.8,Marketplace,North,0,5
SALE-9165,SKU-1040,Face Moisturizer,Beauty,2025-08-13,46,215.83,9928.18,Retail Store,West,0,0
SALE-9166,SKU-1011,A4 Paper (Ream),Office,2025-11-02,9,721.43,6492.87,Mobile App,Central,0,0
SALE-9167,SKU-1026,Polo Shirt,Clothing,2025-05-21,19,255.0,4845.0,Mobile App,South,0,0
SALE-9168,SKU-1046,Body Lotion,Beauty,2025-11-08,43,60.21,2589.03,Retail Store,South,0,10
SALE-9169,SKU-1029,Sport Leggings,Clothing,2026-02-23,39,72.05,2809.95,Retail Store,Central,0,0
SALE-9170,SKU-1028,Denim Shorts,Clothing,2025-09-16,23,191.99,4415.77,Mobile App,South,0,5
SALE-9171,SKU-1046,Body Lotion,Beauty,2025-07-03,46,51.61,2374.06,B2B Direct,East,2,5
SALE-9172,SKU-1002,Mechanical Keyboard,Electronics,2025-03-23,37,246.09,9105.33,Retail Store,East,0,20
SALE-9173,SKU-1005,Monitor Stand,Electronics,2025-05-15,47,357.41,16798.27,B2B Direct,East,0,5
SALE-9174,SKU-1039,Dish Rack,Home & Kitchen,2025-04-18,16,325.0,5200.0,Retail Store,North,0,10
SALE-9175,SKU-1019,Tape Dispenser,Office,2026-01-11,4,477.85,1911.4,Marketplace,Central,0,5
SALE-9176,SKU-1030,Coffee Maker,Home & Kitchen,2025-12-22,47,589.27,27695.69,Marketplace,West,2,10
SALE-9177,SKU-1018,Scissors,Office,2025-05-28,3,125.99,377.97,B2B Direct,East,0,0
SALE-9178,SKU-1040,Face Moisturizer,Beauty,2025-11-01,38,302.16,11482.08,Mobile App,Central,0,0
SALE-9179,SKU-1047,Eye Cream,Beauty,2026-01-17,2,73.21,146.42,Marketplace,West,0,0
SALE-9180,SKU-1017,Printer Ink Cartridge,Office,2025-07-11,9,704.45,6340.05,B2B Direct,East,0,0
SALE-9181,SKU-1007,Power Bank,Electronics,2026-01-07,12,304.06,3648.72,B2B Direct,South,0,10
SALE-9182,SKU-1016,Desk Organizer,Office,2026-02-25,16,317.54,5080.64,Retail Store,South,0,0
SALE-9183,SKU-1005,Monitor Stand,Electronics,2025-05-17,39,357.41,13938.99,Mobile App,West,0,0
SALE-9184,SKU-1028,Denim Shorts,Clothing,2026-01-24,11,191.99,2111.89,Mobile App,Central,0,0
SALE-9185,SKU-1016,Desk Organizer,Office,2025-05-02,4,317.54,1270.16,Mobile App,West,0,0
SALE-9186,SKU-1048,Toner,Beauty,2025-12-01,15,398.69,5980.35,Retail Store,West,0,5
SALE-9187,SKU-1027,Winter Jacket,Clothing,2025-03-10,19,483.4,9184.6,Retail Store,West,0,5
SALE-9188,SKU-1002,Mechanical Keyboard,Electronics,2025-04-22,35,246.09,8613.15,Marketplace,West,3,15
SALE-9189,SKU-1021,Women Jeans,Clothing,2025-07-20,18,366.53,6597.54,Website,East,0,0
SALE-9190,SKU-1043,Sunscreen SPF50,Beauty,2025-07-05,47,401.04,18848.88,B2B Direct,South,0,5
SALE-9191,SKU-1011,A4 Paper (Ream),Office,2025-08-11,36,515.31,18551.16,Website,North,0,0
SALE-9192,SKU-1006,LED Desk Lamp,Electronics,2026-02-17,29,484.57,14052.53,Marketplace,South,0,0
SALE-9193,SKU-1001,USB-C Hub,Electronics,2026-01-15,6,507.79,3046.74,Website,Central,0,0
SALE-9194,SKU-1038,Mixing Bowls Set,Home & Kitchen,2026-01-24,8,217.33,1738.64,Website,North,0,5
SALE-9195,SKU-1041,Shampoo 500ml,Beauty,2025-12-18,12,482.03,5784.36,Website,South,0,5
SALE-9196,SKU-1004,Webcam,Electronics,2026-01-25,30,342.33,10269.9,Marketplace,West,3,10
SALE-9197,SKU-1020,Men T-Shirt,Clothing,2025-07-13,11,445.26,4897.86,Website,East,0,0
SALE-9198,SKU-1003,Gaming Mouse,Electronics,2025-07-14,17,400.7,6811.9,Mobile App,West,0,15
SALE-9199,SKU-1039,Dish Rack,Home & Kitchen,2025-09-21,12,325.0,3900.0,Retail Store,North,0,0
SALE-9200,SKU-1039,Dish Rack,Home & Kitchen,2026-01-27,7,325.0,2275.0,Retail Store,East,0,0
SALE-9201,SKU-1046,Body Lotion,Beauty,2025-07-10,50,51.61,2580.5,Retail Store,North,0,5
SALE-9202,SKU-1002,Mechanical Keyboard,Electronics,2026-02-07,25,246.09,6152.25,Marketplace,South,0,0
SALE-9203,SKU-1000,Wireless Earbuds,Electronics,2025-11-22,46,527.09,24246.14,Retail Store,West,0,10
SALE-9204,SKU-1004,Webcam,Electronics,2025-12-05,15,479.26,7188.9,Website,West,0,0
SALE-9205,SKU-1036,Electric Kettle,Home & Kitchen,2025-12-03,23,56.48,1299.04,Marketplace,East,0,20
SALE-9206,SKU-1041,Shampoo 500ml,Beauty,2025-04-19,24,344.31,8263.44,B2B Direct,East,0,10
SALE-9207,SKU-1018,Scissors,Office,2026-01-29,13,125.99,1637.87,Mobile App,Central,1,5
SALE-9208,SKU-1019,Tape Dispenser,Office,2026-02-23,25,477.85,11946.25,Website,East,0,5
SALE-9209,SKU-1047,Eye Cream,Beauty,2025-06-09,9,87.85,790.65,Website,South,0,5
SALE-9210,SKU-1031,Blender,Home & Kitchen,2025-09-19,5,504.08,2520.4,B2B Direct,East,0,10
SALE-9211,SKU-1028,Denim Shorts,Clothing,2025-03-12,3,191.99,575.97,Marketplace,North,0,0
SALE-9212,SKU-1007,Power Bank,Electronics,2025-06-20,42,364.87,15324.54,B2B Direct,West,0,5
SALE-9213,SKU-1047,Eye Cream,Beauty,2025-12-25,15,102.49,1537.35,Website,North,0,5
SALE-9214,SKU-1030,Coffee Maker,Home & Kitchen,2026-01-14,3,420.91,1262.73,Mobile App,South,0,0
SALE-9215,SKU-1019,Tape Dispenser,Office,2025-04-22,30,477.85,14335.5,B2B Direct,South,0,10
SALE-9216,SKU-1007,Power Bank,Electronics,2025-11-13,39,425.68,16601.52,B2B Direct,South,0,0
SALE-9217,SKU-1047,Eye Cream,Beauty,2026-02-14,26,73.21,1903.46,Marketplace,North,0,0
SALE-9218,SKU-1013,Stapler,Office,2025-03-27,38,196.06,7450.28,Mobile App,East,0,0
SALE-9219,SKU-1026,Polo Shirt,Clothing,2025-05-29,45,255.0,11475.0,Marketplace,Central,0,15
SALE-9220,SKU-1002,Mechanical Keyboard,Electronics,2025-05-11,7,246.09,1722.63,B2B Direct,West,0,0
SALE-9221,SKU-1000,Wireless Earbuds,Electronics,2025-03-07,12,376.49,4517.88,Website,Central,0,10
SALE-9222,SKU-1049,Serum 30ml,Beauty,2025-11-02,45,573.06,25787.7,Mobile App,South,0,5
SALE-9223,SKU-1026,Polo Shirt,Clothing,2025-07-04,12,306.0,3672.0,B2B Direct,North,0,0
SALE-9224,SKU-1005,Monitor Stand,Electronics,2026-01-19,20,357.41,7148.2,Marketplace,West,0,0
SALE-9225,SKU-1033,Cutting Board,Home & Kitchen,2025-04-21,40,355.21,14208.4,Marketplace,Central,0,10
SALE-9226,SKU-1042,Conditioner 500ml,Beauty,2025-06-18,18,75.36,1356.48,Website,South,0,5
SALE-9227,SKU-1030,Coffee Maker,Home & Kitchen,2025-11-13,12,589.27,7071.24,Mobile App,North,0,0
SALE-9228,SKU-1027,Winter Jacket,Clothing,2025-07-10,22,580.08,12761.76,B2B Direct,West,0,0
SALE-9229,SKU-1034,Kitchen Knife Set,Home & Kitchen,2025-06-02,11,335.88,3694.68,Website,West,0,15
SALE-9230,SKU-1046,Body Lotion,Beauty,2025-10-17,38,43.01,1634.38,B2B Direct,East,0,5
SALE-9231,SKU-1020,Men T-Shirt,Clothing,2025-06-29,50,445.26,22263.0,Website,East,0,10
SALE-9232,SKU-1012,Sticky Notes Pack,Office,2025-09-12,15,254.78,3821.7,Website,West,0,15
SALE-9233,SKU-1009,Laptop Stand,Electronics,2025-06-22,40,101.54,4061.6,Retail Store,South,0,0
SALE-9234,SKU-1012,Sticky Notes Pack,Office,2026-01-21,23,254.78,5859.94,Marketplace,South,0,5
SALE-9235,SKU-1003,Gaming Mouse,Electronics,2025-07-25,9,400.7,3606.3,Website,West,0,10
SALE-9236,SKU-1014,File Folders,Office,2025-08-02,39,290.71,11337.69,Mobile App,Central,0,5
SALE-9237,SKU-1014,File Folders,Office,2025-04-17,27,290.71,7849.17,B2B Direct,West,0,10
SALE-9238,SKU-1017,Printer Ink Cartridge,Office,2025-03-11,47,587.04,27590.88,Retail Store,South,0,5
SALE-9239,SKU-1037,Air Fryer,Home & Kitchen,2025-05-19,37,250.76,9278.12,Website,West,0,0
SALE-9240,SKU-1049,Serum 30ml,Beauty,2025-11-17,3,573.06,1719.18,Retail Store,Central,0,10
